"LOCUSTAG","GENE","EXP_70_TestInt","EXP_70_CntlInt","EXP_71_TestInt","EXP_71_CntlInt","EXP_72_TestInt","EXP_72_CntlInt","EXP_73_TestInt","EXP_73_CntlInt","EXP_74_TestInt","EXP_74_CntlInt","EXP_75_TestInt","EXP_75_CntlInt","EXP_76_TestInt","EXP_76_CntlInt","EXP_77_TestInt","EXP_77_CntlInt","EXP_78_TestInt","EXP_78_CntlInt","EXP_79_TestInt","EXP_79_CntlInt","EXP_80_TestInt","EXP_80_CntlInt","mean_exp","stdev_exp","RSD"
"b0011","yaaW",2431.279,1813.423,2230.266,2689.272,4903.173,7937.671,4111.645,6591.998,1360.574,1204.317,2810.284,2820.04,748.314,572.249,888.052,768.286,574.634,630.128,370.415,384.01,1680.296,848.929,2198.6025,1821.80251785224,0.828618414584827
"b0012","b0012",828.295,1452.175,1805.897,1437.653,10444.82,1064.16,1385.797,1082.011,750.132,483.375,1445.146,1151.262,513.956,541.381,690.023,465.133,2837.687,2839.655,879.171,887.744,2201.086,2452.436,1710.86340909091,1949.95945554285,1.13975168630147
"b0013","yaaI",2012.119,2221.78,3149.703,2502.232,8457.409,4199.495,7782.403,4141.679,1400.766,967.421,2191.192,1684.962,840.439,476.721,777.393,606.137,613.747,594.074,438.672,451.631,824.285,853.354,2144.89154545455,1694.09521979936,0.78982791618974
"b0014","dnaK",3180.417,18599.807,22134.359,5972.006,43917.247,17121.245,37264.131,20947.639,9312.805,2190.432,15705.693,5297.148,13216.019,2234.908,5587.55,4711.596,16225.778,13034.07,13753.393,8355.439,8905.618,7965.228,13437.8421818182,8156.58587730553,0.606986282986836
"b0015","dnaJ",3531.34,6199.774,7728.646,4764.14,13070.258,14362.308,13437.713,6445.158,3940.055,3590.577,6686.335,5453.626,2261.399,1327.964,1970.027,1424.263,3084.883,3106.34,1321.078,1292.994,5412.202,5134.471,5252.0705,2927.07771141716,0.557318815773162
"b0016","insL",10546.67,4203.863,5495.367,13234.353,8816.559,25145.28,7720.615,27015.504,1592.966,2429.595,3298.284,3985.376,1364.825,2984.969,1029.337,3277.772,2063.675,2172.288,1160.475,841.897,6011.461,5875.517,6375.75672727273,6642.38936527163,1.04181976342641
"b0017","b0017",6216.988,4414.395,5595.301,9178.228,10092.528,14174.4,9210.093,13317.171,1374.794,1359.632,3114.964,3485.138,1247.22,2335.475,1123.279,1722.753,2041.622,2217.164,1336.737,762.979,1435.662,1191.448,4406.72595454546,3638.71798823885,0.825719145182054
"b0018","mokC",2421.189,2666.072,4571.652,3077.408,7380.485,6015.63,6746.858,4659.631,664.442,486.4,1904.241,1551.018,1056.81,879.476,837.822,498.517,1309.681,1357.748,843.942,722.573,3098.813,3581.877,2560.55840909091,1663.44109653234,0.649639973306809
"b0019","nhaA",4050.825,3630.619,2363.157,2541.563,8930.344,12638.17,7635.463,9213.285,2577.041,2003.768,4352.112,2564.568,1935.513,1154.858,1656.015,1298.383,2553.924,2206.433,1071.934,929.3,1928.148,2181.342,3609.85295454545,2697.73777837872,0.747326224183669
"b0020","nhaR",3539.917,2829.831,3737.868,5487.754,6501.244,8911.793,6737.511,10397.867,1377.656,1330.728,3029.786,2590.473,776.585,1118.229,1134.232,1491.45,986.38,823.714,795.38,535.41,1291.65,1024.71,3020.46218181818,2451.65934645972,0.811683510297729
"b0021","insB",7070.027,2473.777,3149.703,8510.334,5716.831,14115.572,5376.68,12516.122,1299.733,4011.706,2415.322,4563.737,1130.7,1974.128,1074.165,2331.431,1976.182,2064.39,1025.065,1199.735,4844.057,6700.254,4342.71140909091,3213.40108995241,0.739952713234771
