ACCESSION	GSE1730
TITLE	mRNA abundance from wild type

EXP	NAME	STDDEV	SAMPLES	TIMEPOINT	CHANNELS	TEST COL	TEST BKGD	CNTL COL	CNTL BKGD	LOG	NORM	RMA DATA
70	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant	0.929	GSM30231,GSM30232,GSM30233,GSM30234		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
71	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.875	GSM30235,GSM30236,GSM30237,GSM30238		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
72	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant	1.135	GSM30239,GSM30240,GSM30241,GSM30242		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
73	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.969	GSM30243,GSM30244,GSM30245,GSM30246		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
74	mRNA abundance (wt in LB, norfloxacin for 10 min)  / Genomic DNA from dnaC(ts) mutant	0.697	GSM30247,GSM30248,GSM30249,GSM30250		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
75	mRNA abundance (wt in LB, norfloxacin for 10 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.631	GSM30251,GSM30252,GSM30253,GSM30254		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
76	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant	0.904	GSM30255,GSM30256,GSM30257,GSM30258		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
77	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.811	GSM30259,GSM30260,GSM30261,GSM30262		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
78	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB)	0.285	GSM30330,GSM30331,GSM30332,GSM30333		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
79	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB) (dye swap)	0.345	GSM30334,GSM30335,GSM30336,GSM30337		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
80	mRNA abundance (wt, M9) / Genomic DNA from dnaC(ts) mutant	0.300	GSM30338,GSM30339,GSM30340,GSM30341		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	

LABELS
LOCUSTAG	Locus_Tag
GENE	Name
EXP_num_M	Ratio of Test/Control
EXP_num_A	Average=0.5*(Test+Control)
EXP_num_TestInt	Test Intensity
EXP_num_CntlInt	Control Intensity

LOCUSTAG	GENE	EXP_70_M	EXP_70_A	EXP_70_TestInt	EXP_70_CntlInt	EXP_71_M	EXP_71_A	EXP_71_TestInt	EXP_71_CntlInt	EXP_72_M	EXP_72_A	EXP_72_TestInt	EXP_72_CntlInt	EXP_73_M	EXP_73_A	EXP_73_TestInt	EXP_73_CntlInt	EXP_74_M	EXP_74_A	EXP_74_TestInt	EXP_74_CntlInt	EXP_75_M	EXP_75_A	EXP_75_TestInt	EXP_75_CntlInt	EXP_76_M	EXP_76_A	EXP_76_TestInt	EXP_76_CntlInt	EXP_77_M	EXP_77_A	EXP_77_TestInt	EXP_77_CntlInt	EXP_78_M	EXP_78_A	EXP_78_TestInt	EXP_78_CntlInt	EXP_79_M	EXP_79_A	EXP_79_TestInt	EXP_79_CntlInt	EXP_80_M	EXP_80_A	EXP_80_TestInt	EXP_80_CntlInt
b0011	yaaW	0.423	11.036	2431.279	1813.423	-0.270	11.258	2230.266	2689.272	-0.695	12.607	4903.173	7937.671	-0.681	12.346	4111.645	6591.998	0.176	10.322	1360.574	1204.317	-0.005	11.459	2810.284	2820.040	0.387	9.354	748.314	572.249	0.209	9.690	888.052	768.286	-0.133	9.233	574.634	630.128	-0.052	8.559	370.415	384.010	0.985	10.222	1680.296	848.929
b0012	b0012	-0.810	10.099	828.295	1452.175	0.329	10.654	1805.897	1437.653	3.295	11.703	10444.820	1064.160	0.357	10.258	1385.797	1082.011	0.634	9.234	750.132	483.375	0.328	10.333	1445.146	1151.262	-0.075	9.043	513.956	541.381	0.569	9.146	690.023	465.133	-0.001	11.471	2837.687	2839.655	-0.014	9.787	879.171	887.744	-0.156	11.182	2201.086	2452.436
b0013	yaaI	-0.143	11.046	2012.119	2221.780	0.332	11.455	3149.703	2502.232	1.010	12.541	8457.409	4199.495	0.910	12.471	7782.403	4141.679	0.534	10.185	1400.766	967.421	0.379	10.908	2191.192	1684.962	0.818	9.306	840.439	476.721	0.359	9.423	777.393	606.137	0.047	9.238	613.747	594.074	-0.042	8.798	438.672	451.631	-0.050	9.712	824.285	853.354
b0014	dnaK	-2.548	12.909	3180.417	18599.807	1.890	13.489	22134.359	5972.006	1.359	14.743	43917.247	17121.245	0.831	14.770	37264.131	20947.639	2.088	12.141	9312.805	2190.432	1.568	13.155	15705.693	5297.148	2.564	12.408	13216.019	2234.908	0.246	12.325	5587.550	4711.596	0.316	13.828	16225.778	13034.070	0.719	13.388	13753.393	8355.439	0.161	13.040	8905.618	7965.228
b0015	dnaJ	-0.812	12.192	3531.340	6199.774	0.698	12.567	7728.646	4764.140	-0.136	13.742	13070.258	14362.308	1.060	13.184	13437.713	6445.158	0.134	11.877	3940.055	3590.577	0.294	12.560	6686.335	5453.626	0.768	10.759	2261.399	1327.964	0.468	10.710	1970.027	1424.263	-0.010	11.596	3084.883	3106.340	0.031	10.352	1321.078	1292.994	0.076	12.364	5412.202	5134.471
b0016	insL	1.327	12.701	10546.670	4203.863	-1.268	13.058	5495.367	13234.353	-1.512	13.862	8816.559	25145.280	-1.807	13.818	7720.615	27015.504	-0.609	10.942	1592.966	2429.595	-0.273	11.824	3298.284	3985.376	-1.129	10.979	1364.825	2984.969	-1.671	10.843	1029.337	3277.772	-0.074	11.048	2063.675	2172.288	0.463	9.949	1160.475	841.897	0.033	12.537	6011.461	5875.517
b0017	b0017	0.494	12.355	6216.988	4414.395	-0.714	12.807	5595.301	9178.228	-0.490	13.546	10092.528	14174.400	-0.532	13.435	9210.093	13317.171	0.016	10.417	1374.794	1359.632	-0.162	11.686	3114.964	3485.138	-0.905	10.737	1247.220	2335.475	-0.617	10.442	1123.279	1722.753	-0.119	11.055	2041.622	2217.164	0.809	9.980	1336.737	762.979	0.269	10.353	1435.662	1191.448
b0018	mokC	-0.139	11.311	2421.189	2666.072	0.571	11.873	4571.652	3077.408	0.295	12.702	7380.485	6015.630	0.534	12.453	6746.858	4659.631	0.450	9.151	664.442	486.400	0.296	10.747	1904.241	1551.018	0.265	9.913	1056.810	879.476	0.749	9.336	837.822	498.517	-0.052	10.381	1309.681	1357.748	0.224	9.609	843.942	722.573	-0.209	11.702	3098.813	3581.877
b0019	nhaA	0.158	11.905	4050.825	3630.619	-0.105	11.259	2363.157	2541.563	-0.501	13.375	8930.344	12638.170	-0.271	13.034	7635.463	9213.285	0.363	11.150	2577.041	2003.768	0.763	11.706	4352.112	2564.568	0.745	10.546	1935.513	1154.858	0.351	10.518	1656.015	1298.383	0.211	11.213	2553.924	2206.433	0.206	9.963	1071.934	929.300	-0.178	11.002	1928.148	2181.342
b0020	nhaR	0.323	11.628	3539.917	2829.831	-0.554	12.145	3737.868	5487.754	-0.455	12.894	6501.244	8911.793	-0.626	13.031	6737.511	10397.867	0.050	10.403	1377.656	1330.728	0.226	11.452	3029.786	2590.473	-0.526	9.864	776.585	1118.229	-0.395	10.345	1134.232	1491.450	0.260	9.816	986.380	823.714	0.571	9.350	795.380	535.410	0.334	10.168	1291.650	1024.710
