ACCESSION	GSE1730
TITLE	mRNA abundance from wild type

EXP	NAME	STDDEV	SAMPLES	TIMEPOINT	CHANNELS	TEST COL	TEST BKGD	CNTL COL	CNTL BKGD	LOG	NORM	RMA DATA
70	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant	0.929	GSM30231,GSM30232,GSM30233,GSM30234		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
71	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.875	GSM30235,GSM30236,GSM30237,GSM30238		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
72	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant	1.135	GSM30239,GSM30240,GSM30241,GSM30242		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
73	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.969	GSM30243,GSM30244,GSM30245,GSM30246		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
74	mRNA abundance (wt in LB, norfloxacin for 10 min)  / Genomic DNA from dnaC(ts) mutant	0.697	GSM30247,GSM30248,GSM30249,GSM30250		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
75	mRNA abundance (wt in LB, norfloxacin for 10 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.631	GSM30251,GSM30252,GSM30253,GSM30254		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
76	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant	0.904	GSM30255,GSM30256,GSM30257,GSM30258		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
77	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.811	GSM30259,GSM30260,GSM30261,GSM30262		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
78	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB)	0.285	GSM30330,GSM30331,GSM30332,GSM30333		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
79	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB) (dye swap)	0.345	GSM30334,GSM30335,GSM30336,GSM30337		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
80	mRNA abundance (wt, M9) / Genomic DNA from dnaC(ts) mutant	0.300	GSM30338,GSM30339,GSM30340,GSM30341		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	

LABELS
LOCUSTAG	Locus_Tag
GENE	Name
EXP_num_M	Ratio of Test/Control
EXP_num_A	Average=0.5*(Test+Control)
EXP_num_TestInt	Test Intensity
EXP_num_CntlInt	Control Intensity

LOCUSTAG	GENE	EXP_70_M	EXP_70_A	EXP_70_TestInt	EXP_70_CntlInt	EXP_71_M	EXP_71_A	EXP_71_TestInt	EXP_71_CntlInt	EXP_72_M	EXP_72_A	EXP_72_TestInt	EXP_72_CntlInt	EXP_73_M	EXP_73_A	EXP_73_TestInt	EXP_73_CntlInt	EXP_74_M	EXP_74_A	EXP_74_TestInt	EXP_74_CntlInt	EXP_75_M	EXP_75_A	EXP_75_TestInt	EXP_75_CntlInt	EXP_76_M	EXP_76_A	EXP_76_TestInt	EXP_76_CntlInt	EXP_77_M	EXP_77_A	EXP_77_TestInt	EXP_77_CntlInt	EXP_78_M	EXP_78_A	EXP_78_TestInt	EXP_78_CntlInt	EXP_79_M	EXP_79_A	EXP_79_TestInt	EXP_79_CntlInt	EXP_80_M	EXP_80_A	EXP_80_TestInt	EXP_80_CntlInt
b1351	racC	0.167	11.758	3669.836	3268.697	-0.192	11.472	2657.769	3036.092	-0.199	12.265	4593.888	5273.335	-0.423	12.421	4736.153	6349.820	-0.029	10.864	1845.121	1882.586	-0.285	11.440	2517.018	3066.761	-0.373	9.964	877.649	1136.593	-0.277	9.563	687.159	832.612	0.100	8.983	523.846	488.766	-0.212	8.590	358.046	414.722	-0.201	12.194	4370.250	5023.580
b1352	kilR	-0.063	10.328	1257.637	1313.773	-0.028	11.346	2577.935	2628.456	0.221	11.749	3715.910	3188.142	-0.101	11.423	2651.329	2843.594	-0.291	10.058	963.740	1179.124	-0.029	10.880	1865.698	1903.581	0.282	9.705	920.325	756.922	0.236	9.478	773.898	657.114	0.325	9.944	1102.452	880.086	0.189	9.317	680.995	597.378	-0.215	11.653	2989.109	3469.471
b1353	sieB	-0.787	11.084	1652.575	2851.489	0.139	11.559	3166.120	2875.306	0.472	12.588	7251.180	5227.843	0.087	11.319	2633.015	2478.927	0.187	9.620	839.566	737.500	0.038	10.112	1121.334	1092.184	-0.351	10.031	926.405	1181.579	0.146	9.675	859.885	777.123	0.032	9.215	600.908	587.726	-0.113	9.028	501.985	542.884	-0.159	12.532	5605.005	6258.061
b1354	b1354	0.478	11.434	3265.300	2344.395	-0.322	11.534	2652.248	3315.475	-0.316	12.935	7018.758	8737.471	-0.249	12.398	4950.985	5883.667	0.015	10.430	1386.758	1372.414	0.055	11.086	2215.628	2132.751		9.632			0.003	9.619	787.153	785.518	-0.453	10.626	1350.708	1848.962	-0.561	10.043	868.571	1281.395	0.350	10.931	2204.140	1729.333
b1355	ydaG	-0.039	11.040	2077.309	2134.230	-0.600	11.925	3158.448	4787.312	-0.318	11.525	2639.410	3290.292	-0.310	11.473	2553.039	3165.022	-0.540	8.599	321.572	467.558	-0.684	11.154	1797.779	2888.290	-0.030	9.256	605.088	617.802	-0.052	9.087	534.113	553.715	-0.417	9.564	655.068	874.612	-0.118	8.617	376.890	409.012	-0.015	10.014	1028.624	1039.375
b1356	racR	-0.033	11.448	2762.005	2825.910	0.063	11.019	2120.958	2030.332	0.485	12.411	6442.925	4603.451	0.503	12.618	7483.513	5280.651	-0.438	10.400	1160.877	1572.670	-0.194	11.324	2396.976	2741.976	0.156	9.508	768.552	689.784	-0.010	9.660	806.203	811.811	-0.278	9.440	630.783	764.832	-0.037	7.727	209.165	214.599	-0.151	9.025	494.388	548.938
b1357	ydaS	-0.347	9.778	778.471	990.148	0.194	11.165	2455.839	2146.842	0.114	9.940	1021.873	944.234	0.092	9.438	716.091	671.852	0.631	9.243	754.041	486.906	-0.229	10.573	1407.091	1649.142	-0.291	10.023	940.641	1150.863	0.481	8.248	359.164	257.334	-0.056	8.266	301.915	313.865	0.028	8.681	414.434	406.469	-0.300	9.969	903.262	1112.045
b1358	ydaT	0.330	10.946	2211.792	1759.561	-0.070	11.286	2437.185	2558.354	0.038	12.393	5449.847	5308.174	0.335	12.248	5463.084	4331.047	-0.453	10.142	965.746	1321.994	-0.423	10.993	1760.171	2359.884	0.029	9.464	713.367	699.170	0.106	9.411	706.233	656.204	0.313	9.365	734.949	591.609	-0.099	9.265	594.486	636.713	0.036	9.963	1010.603	985.697
b1359	ydaU	0.968	11.204	3299.427	1686.714	-0.885	11.484	2107.767	3892.550	-1.109	12.312	3462.264	7467.968	-0.606	12.256	3964.711	6034.423	-1.063	10.581	1059.744	2214.093	-0.954	11.569	2182.854	4228.704	-0.795	9.800	676.760	1174.231	-0.694	9.785	693.619	1122.111	0.128	10.292	1310.589	1199.319	0.062	9.023	531.527	509.169	0.129	9.890	992.209	907.340
b1360	ydaV	-0.240	10.163	1054.980	1245.924	0.280	11.235	2655.927	2187.398	0.716	11.351	3347.806	2038.087	0.070	11.141	2313.722	2204.140	0.597	9.873	1153.258	762.451	0.093	10.576	1576.490	1478.071	0.025	8.133	283.165	278.301	0.013	8.347	327.080	324.146	-0.051	8.943	483.543	500.942	0.219	8.403	365.189	313.756	-0.898	10.483	1048.419	1953.709
b1361	ydaW	1.069	11.371	3836.300	1828.570	-0.610	10.931	1580.319	2411.976	-0.821	12.459	4236.039	7483.513	-0.468	12.535	5046.264	6979.945	-0.838	10.200	879.781	1572.670	-0.333	11.306	2255.920	2841.624	-0.690	9.766	685.494	1105.896	-0.513	9.564	633.631	904.201	0.304	10.063	1188.561	962.738	0.123	8.159	298.275	273.899	-0.287	9.961	902.323	1100.925
b1362	rzpR	-0.042	11.153	2244.222	2310.517	-0.144	11.757	3292.574	3638.177	0.174	12.817	7664.628	6793.786	-0.144	12.840	6975.109	7707.247	-0.365	8.751	379.643	488.935	-0.311	10.933	1755.298	2177.565	-0.099	9.745	829.156	888.052	-0.052	9.712	823.714	853.945	-0.066	9.332	629.909	659.395	0.225	9.370	715.347	612.048	-0.192	12.024	3896.600	4451.266
b1363	trkG	1.249	11.510	4496.230	1891.742	-1.488	12.040	2514.403	7052.896	-1.185	12.845	4879.440	11094.061	-1.048	12.979	5614.726	11609.353	-0.816	10.187	878.562	1546.724	-0.327	11.152	2031.740	2548.619	-0.414	11.033	1815.310	2418.673	-0.793	10.676	1242.905	2153.548	-0.081	9.409	660.997	699.170	0.139	9.045	554.291	503.379	0.089	12.257	5048.013	4746.012
b1364	b1364	-0.053	10.238	1185.681	1230.049	0.005	10.913	1931.492	1924.810	0.248	11.545	3256.260	2741.976	-0.274	11.078	1965.935	2377.122	0.110	9.625	820.296	760.076	-0.182	10.518	1376.701	1561.806	0.895	9.118	757.709	407.456	0.558	8.948	599.244	407.032	-0.227	9.146	523.665	612.897	-0.273	8.178	263.471	318.357	-0.191	10.578	1430.695	1633.216
b1365	ynaK	0.837	10.902	2557.467	1431.687	-0.572	11.310	2082.355	3095.593	-0.371	12.840	6447.392	8338.083	-0.567	12.778	5770.578	8548.763	-0.677	10.250	963.072	1539.771	-0.281	11.061	1938.198	2354.981	-0.575	10.101	899.825	1340.448	-0.273	9.485	651.897	787.699	0.079	9.796	913.651	864.966	-0.153	8.460	333.953	371.315	0.338	10.062	1201.816	950.801
b1366	ydaY	0.359	10.301	1428.713	1113.974	-0.819	11.154	1715.603	3026.637	-0.843	11.407	2027.519	3636.916	-0.701	11.305	1984.418	3225.931	-0.289	8.791	400.734	489.614	-0.721	10.745	1336.737	2203.376	0.590	9.173	708.194	470.483	0.389	9.450	800.357	611.200	-0.033	8.532	365.949	374.416	-0.275	8.502	329.583	398.794	0.095	10.290	1293.891	1211.434
b1367	b1367	0.447	10.723	1973.444	1447.653	-0.567	11.087	1787.218	2647.656	0.932	12.936	10824.404	5673.408	0.507	12.521	7006.606	4930.438	-0.137	9.705	795.931	875.219	-0.301	10.832	1642.298	2023.308	-0.057	9.641	782.800	814.347	0.186	9.539	793.452	697.476	0.175	10.071	1142.913	1012.355	0.024	9.356	660.768	649.867	0.406	10.131	1290.755	974.150
b1368	ynaA	0.682	10.927	2466.073	1537.105	-0.288	11.181	2101.203	2565.457	-0.916	12.532	4311.577	8135.414	-0.928	12.297	3648.278	6941.347	-0.163	10.518	1385.797	1551.556	0.055	11.264	2506.572	2412.812	-0.060	9.409	665.825	694.100	-0.288	9.688	746.501	911.438	-0.174	8.904	451.005	508.816	-0.132	8.160	273.235	299.414	-0.005	11.736	3405.144	3416.966
b1369	b1369	-0.210	10.766	1619.127	1872.825	-0.208	10.814	1675.063	1934.842	0.180	12.390	5712.870	5042.768	0.410	12.403	6242.897	4698.550	-0.389	10.474	1242.905	1627.566	-0.450	11.073	1843.204	2517.891	0.270	9.072	590.994	490.123	0.121	9.570	792.628	728.861	0.088	8.613	403.661	379.775	-0.182	7.443	163.370	185.336	-0.596	9.276	504.252	762.186
b1370	insH	1.591	12.864	12939.552	4295.171	-1.391	13.173	5702.979	14956.656	-2.030	14.104	8713.279	35585.453	-1.555	13.845	8584.391	25223.835	-2.302	11.909	1731.732	8539.880	-1.665	12.421	3079.542	9765.648	-1.343	11.320	1605.158	4071.938	-1.519	10.927	1150.065	3295.999	0.227	13.440	12022.922	10272.502	0.121	12.504	6057.472	5570.148	1.130	11.092	3229.287	1475.512
b1371	b1371	0.010	11.220	2393.656	2377.122	0.345	11.727	3820.379	3007.815	0.470	12.899	8989.343	6489.988	0.317	12.952	8844.102	7099.492	-0.757	10.878	1447.653	2446.494	-0.303	11.336	2327.394	2871.323	-0.316	10.391	1203.483	1498.185	0.073	9.857	951.131	904.201	0.250	10.951	2158.779	1815.310	-0.147	9.486	681.467	754.564	0.027	10.038	1061.214	1041.538
b1372	stfR	1.100	11.324	3753.446	1751.044	-1.521	11.845	2171.536	6232.088	-0.709	12.983	6332.239	10351.125	-0.674	12.829	5760.587	9190.961	-1.157	10.142	756.659	1687.299	-0.483	10.779	1486.290	2077.309	-0.357	9.782	777.932	996.344	-1.093	10.086	744.176	1587.455	-0.035	9.380	658.254	674.418	0.243	8.319	347.411	293.558	0.295	10.099	1214.797	990.148
b1373	tfaR	1.272	11.496	4488.445	1858.599	-1.131	11.477	1926.144	4218.458	-1.401	12.589	3791.361	10012.399	-1.184	12.617	4167.597	9469.024	-1.130	10.639	1077.894	2359.066	-1.364	11.647	1998.913	5145.159	-1.011	10.435	975.163	1965.254	-0.969	10.440	992.897	1943.579	-0.026	10.129	1109.735	1129.916	-0.110	8.872	451.005	486.737	0.862	10.387	1805.271	993.241
b1374	pinR	0.872	11.206	3195.885	1746.196	-0.790	11.713	2553.039	4414.395	-0.941	12.448	4032.615	7742.050	-0.852	12.424	4090.326	7383.044	-0.189	10.524	1379.089	1572.125	-0.104	11.190	2253.575	2422.028	0.342	10.289	1408.555	1111.275	-0.171	10.531	1394.469	1569.947	-0.264	9.573	695.063	834.634	-0.231	9.380	615.024	721.822	0.621	10.184	1442.644	938.036
b1375	ynaE	-0.752	10.472	1094.457	1843.204	0.344	11.024	2346.021	1848.321	2.993	12.401	15260.345	1916.821	1.176	12.698	9988.138	4420.519	0.172	9.088	577.629	512.710	0.090	10.243	1250.249	1174.638	1.580	9.389	1159.269	387.755	0.888	9.418	930.589	502.855	0.105	10.010	1069.336	994.274	-0.059	8.959	487.582	507.935	-0.194	10.623	1474.490	1686.714
b1376	uspF	0.112	11.243	2519.637	2331.431	0.082	11.436	2850.501	2693.003	-0.342	12.504	5159.444	6539.660	-0.324	12.694	5922.539	7413.813	-0.039	10.388	1321.994	1358.219	0.210	11.065	2304.120	1991.997	0.268	9.658	886.514	736.224	0.241	10.166	1248.950	1056.810	-0.606	9.721	684.070	1041.177	-0.187	9.399	632.754	720.323	-0.210	12.415	5077.843	5873.481
b1377	ompN	0.475	11.374	3129.030	2251.234	-0.886	11.881	2774.477	5127.358	-0.603	12.471	4606.643	6996.899	-0.381	12.176	4055.039	5280.651	0.056	10.875	1914.829	1841.927	-0.819	11.934	2945.915	5197.132	0.440	9.692	963.406	710.160	0.209	9.810	965.077	834.923	0.038	9.640	808.442	787.426	-0.065	8.685	402.404	420.949	-0.513	12.057	3567.011	5090.177
b1378	ydbK	0.596	12.186	5728.731	3790.047	-0.509	12.490	4822.281	6862.412	-0.756	13.559	9287.020	15683.936	-0.874	13.329	7601.140	13930.892	-0.187	11.431	2587.781	2945.915	-0.455	12.159	3906.064	5354.366	0.028	10.386	1351.176	1325.205	-0.580	10.488	1174.638	1755.906	0.226	12.225	5177.357	4426.651	0.366	11.095	2483.226	1926.812	0.446	10.363	1537.105	1128.351
b1379	hslJ	-0.514	11.355	2191.951	3130.115	0.654	11.945	4945.841	3143.160	0.328	12.241	5423.468	4320.552	-0.256	11.468	2592.270	3095.593	1.084	10.389	1952.355	920.963	0.700	11.077	2753.403	1694.918	1.287	9.657	1261.129	516.814	1.103	9.837	1340.448	624.042	0.014	10.754	1735.337	1718.578	0.131	9.693	866.166	790.981	-0.097	11.876	3634.396	3887.158
b1380	ldhA	0.210	12.157	4911.677	4246.328	0.329	12.011	4625.841	3682.577	-0.289	13.329	9309.578	11374.378	-0.580	13.314	8329.418	12451.224	0.454	11.033	2452.436	1790.318	0.280	11.960	4389.984	3615.551	0.247	9.759	943.906	795.380	0.388	10.029	1195.170	913.335	0.336	10.265	1382.439	1095.216	0.186	9.479	761.130	669.064	0.394	10.285	1430.199	1088.405
b1381	ydbH	0.477	11.322	3020.350	2170.031	-1.460	12.338	3121.449	8587.366	-0.731	12.487	4455.896	7395.849	-0.401	12.153	3963.337	5233.281	-0.558	10.681	1353.051	1991.997	-0.859	11.559	2240.337	4063.480	-0.834	10.012	773.362	1378.611	-0.496	9.728	714.109	1007.106	-0.075	10.224	1165.312	1227.494	0.058	8.733	434.135	417.028	-0.419	11.857	3208.092	4289.221
b1382	ynbE	0.113	11.053	2209.494	2043.038	-0.675	11.751	2727.758	4355.130	0.478	12.355	6182.609	4438.942	0.792	12.439	7306.678	4219.920	-0.476	10.210	1004.318	1396.887	-0.141	11.124	2125.373	2343.583	0.055	9.462	718.827	691.938	-0.122	9.629	759.023	826.001	0.222	9.894	1027.555	881.001	-0.214	9.254	566.919	657.570	0.076	10.844	1887.159	1790.318
b1383	ydbL	-0.137	10.616	1496.628	1645.716	0.184	11.153	2427.070	2136.450	0.268	11.732	3732.690	3099.887	0.093	11.541	3077.408	2885.289	0.179	9.763	924.481	816.608	-0.535	11.047	1757.733	2546.853	-0.175	9.068	505.126	570.269	-0.064	8.929	476.721	498.345	0.121	10.077	1126.397	1035.779	0.113	9.478	741.601	685.732	-0.166	9.666	766.956	860.481
b1384	feaR	1.495	11.906	6442.925	2285.826	-1.193	11.871	2477.209	5663.586	-1.726	13.032	4605.046	15233.924	-1.422	12.910	4701.808	12598.811	-1.144	9.790	595.517	1316.051	-0.385	10.959	1741.965	2274.762	-1.510	9.896	564.567	1607.942	-1.225	9.945	644.707	1507.038	-0.152	8.809	425.495	472.772	0.370	8.143	321.350	248.655	-0.064	11.781	3441.925	3598.051
b1385	feaB	1.066	11.034	3033.989	1449.159	-0.969	11.424	1963.892	3844.286	-1.397	12.115	2733.436	7198.597	-0.972	12.226	3420.520	6709.549	-1.053	9.485	497.482	1032.195	-0.924	11.233	1747.407	3315.475	-1.334	9.534	466.910	1177.083	-1.195	9.662	535.410	1225.793	-0.101	9.470	684.782	734.440	-0.008	8.435	345.131	347.050	-0.265	11.847	3360.593	4038.209
b1386	tynA	0.910	11.365	3615.551	1924.143	-1.130	11.903	2588.678	5665.549	-1.344	12.851	4637.077	11771.414	-0.817	12.766	5247.811	9245.272	-0.681	10.308	1001.190	1605.158	-0.359	11.294	2217.164	2843.594	-0.947	9.818	650.092	1253.286	-1.391	10.271	762.979	2000.992	-0.091	9.604	754.041	803.136	-0.066	9.137	550.272	576.030	-0.198	12.196	4380.865	5025.321
b1387	paaZ	1.817	11.896	7153.829	2030.332	-1.101	10.185	794.829	1704.934	-1.689	12.930	4346.083	14013.211	-1.112	12.950	5382.274	11633.519	-1.570	11.027	1211.014	3595.558	-0.933	11.870	2708.916	5171.976	-1.445	10.113	671.154	1827.303	-1.109	9.933	665.595	1435.662	0.336	10.105	1237.317	980.246	-0.128	8.296	300.662	328.557	-0.111	9.041	506.880	547.418
b1388	paaA	0.768	10.807	2337.904	1372.890	-0.670	11.289	1983.730	3156.259	-1.058	11.832	2526.632	5260.558	-0.723	11.670	2536.283	4186.416	-0.893	9.999	750.912	1394.469	-0.831	11.095	1640.023	2917.466	-0.922	9.120	404.221	765.894	-0.725	9.276	482.204	797.035	0.090	8.781	453.827	426.381	0.019	8.044	265.672	262.196	0.113	9.687	857.207	792.628
b1389	paaB	0.386	11.308	2898.318	2217.933	-0.172	11.226	2256.702	2542.444	0.042	12.468	5748.620	5583.678	0.286	12.260	5415.955	4442.019	-0.445	10.300	1080.512	1470.917	-0.421	11.232	2078.749	2783.144	-0.060	9.394	658.938	686.921	0.005	9.434	692.898	690.501	0.282	9.517	807.882	664.442	0.110	9.300	654.841	606.767	-0.070	9.924	948.169	995.309
b1390	paaC	0.336	11.150	2553.039	2022.607	-0.279	11.247	2206.433	2677.183	-0.758	12.100	3375.768	5708.912	-0.301	12.016	3731.397	4597.073	-0.411	10.391	1164.504	1548.333	0.066	11.268	2523.132	2410.305	0.202	9.437	743.403	646.273	0.031	9.565	765.628	749.352	0.107	10.325	1331.189	1236.032	-0.019	9.059	529.872	536.896	-0.098	9.646	774.435	828.869
b1391	paaD	0.464	11.302	2965.377	2149.820	-0.271	11.509	2653.167	3201.428	-0.709	12.441	4349.096	7109.340	-0.329	12.570	5425.348	6815.010	-0.538	10.269	1024.000	1486.805	-0.226	11.196	2169.279	2537.162	-0.424	9.743	739.804	992.553	-0.372	9.492	632.973	819.159	0.138	10.109	1158.466	1052.789	-0.169	9.822	853.649	959.740	0.068	11.010	2111.423	2014.212
b1392	paaE	0.863	11.360	3544.828	1948.975	-0.886	11.550	2205.668	4076.174	-1.491	12.826	4331.047	12173.868	-1.025	12.767	4886.209	9943.238	-0.426	10.560	1302.439	1749.831	-0.627	11.575	2454.988	3791.361	-0.447	9.915	826.860	1127.178	-0.607	9.894	770.953	1174.231	0.080	9.829	935.115	884.673	-0.208	9.028	485.726	561.056	-0.023	11.749	3414.598	3469.471
b1393	paaF	0.533	10.956	2389.512	1651.430	-0.487	11.437	2341.959	3282.320	-0.795	12.811	5455.516	9465.743	-0.587	12.412	4446.640	6679.387	-0.043	10.220	1175.045	1210.595	-0.017	11.145	2251.234	2277.918	-0.685	9.435	545.903	877.649	-0.408	9.530	641.809	851.581	0.109	9.326	666.518	618.016	0.013	8.348	327.307	324.371	0.029	10.645	1617.444	1585.256
b1394	paaG	1.001	10.820	2557.467	1277.848	-0.867	10.451	1036.497	1890.432	-1.438	12.110	2685.547	7276.354	-1.040	12.249	3394.539	6979.945	-0.651	10.278	990.834	1555.864	-0.651	11.303	2016.308	3166.120	-1.258	9.287	403.941	966.081	-1.083	9.359	451.161	955.757	-0.015	9.051	527.673	533.188	-0.058	8.194	287.019	298.792	0.314	10.044	1177.083	946.855
b1395	paaH	-0.654	11.428	2196.514	3456.270	-0.632	12.152	3655.872	5665.549	0.771	10.190	1525.958	894.229	0.043	9.817	915.553	888.668	0.740	9.617	1014.814	607.609	0.680	10.943	2491.847	1555.325	0.764	8.707	544.580	320.682	-0.372	9.535	652.123	843.942	-0.045	10.594	1521.733	1569.947	-0.452	9.548	640.032	875.522	-0.010	12.446	5560.504	5599.181
b1396	paaI	0.704	10.583	1957.776	1201.816	-0.830	11.352	1960.492	3485.138	-0.246	12.143	4153.178	4925.314	-0.668	11.839	2906.365	4617.832	-0.246	10.302	1159.269	1374.794	-0.815	11.400	2037.381	3584.360	-0.710	9.258	478.707	783.071	-0.337	9.458	625.775	790.433	-0.023	9.327	637.155	647.394	-0.104	8.399	325.610	349.949	0.208	12.192	5028.805	4353.621
b1397	paaJ	0.634	11.202	2934.705	1891.087	-0.640	10.543	1195.170	1862.468	-0.921	12.580	4449.724	8425.228	-0.912	12.433	4031.218	7585.350	-0.437	10.339	1113.202	1507.038	-0.671	11.401	2143.125	3412.232	-0.847	9.172	430.092	773.630	-0.836	9.334	483.040	862.272	0.155	9.511	769.885	691.459	-0.283	8.469	321.238	390.858	0.165	11.313	2693.936	2402.799
b1398	paaK	0.721	10.643	2052.975	1245.492	-0.415	11.088	1885.198	2513.531	-0.734	12.095	3392.187	5642.035	-0.708	11.971	3140.982	5130.914	-0.286	9.960	902.010	1099.781	-0.272	11.101	1998.913	2413.649	-0.373	8.992	447.424	579.434	-0.579	9.017	423.876	633.192	0.129	8.891	496.448	453.985	-0.032	8.523	363.800	371.959	0.361	9.908	1088.782	847.753
b1399	paaX	0.243	10.486	1560.183	1318.334	-0.669	11.467	2245.000	3569.484	0.080	11.742	3521.563	3331.601	-0.462	11.500	2467.783	3399.248	-0.059	8.849	451.787	470.646	-0.564	10.930	1604.602	2372.184	-0.331	8.924	433.083	544.769	-0.492	9.043	444.796	625.558	-0.317	9.051	475.236	592.019	-0.204	8.965	465.617	536.338	0.188	10.352	1394.952	1224.519
b1400	paaY	0.676	11.088	2751.495	1722.156	-0.703	11.401	2119.488	3450.285	-0.668	12.854	5873.481	9332.190	-0.560	12.680	5404.704	7967.989	-0.396	10.225	1043.345	1372.890	-0.587	11.245	1980.295	2974.641	-0.945	9.755	622.746	1198.904	-0.705	9.680	642.477	1047.330	0.209	9.633	853.649	738.523	0.060	8.944	502.855	482.371	0.494	10.186	1382.439	981.606
b1401	b1401	0.080	11.031	2151.310	2035.264	-0.596	11.754	2809.310	4246.328	0.483	11.847	4355.130	3116.044	-0.101	11.753	3332.756	3574.436	-1.015	10.544	1050.238	2122.428	-1.035	11.177	1617.444	3314.326	-0.102	9.223	576.829	619.088	-0.090	9.428	667.674	710.652	0.037	9.063	541.756	528.039	-0.224	8.649	371.444	433.834	0.066	10.075	1103.599	1054.249
b1402	insD	1.847	11.889	7193.609	1999.606	-1.994	12.495	2892.297	11521.173	-1.700	13.368	5865.344	19056.559	-1.841	13.244	5125.582	18362.820	-2.374	11.324	1126.007	5836.954	-1.680	12.007	2299.333	7367.707	-1.153	11.675	2192.711	4876.059	-1.428	11.068	1308.774	3521.563	-0.432	11.623	2715.496	3663.482	0.024	10.459	1419.336	1395.919	1.577	10.891	3280.045	1099.399
b1403	insC	0.720	11.948	5070.808	3078.475	-0.763	12.107	3386.314	5746.628	-0.704	12.872	5873.481	9567.989	-0.324	12.929	6970.276	8725.366	-1.412	11.014	1267.702	3373.429	-1.092	11.639	2184.368	4656.402	-0.476	10.914	1636.049	2275.551	-1.110	10.875	1278.290	2759.134	-0.633	12.637	5114.934	7932.171	-0.548	11.472	2349.275	3434.775	0.710	10.657	2065.106	1262.441
b1404	insI	1.831	12.294	9472.306	2662.379	-1.686	12.268	2749.588	8847.168	-1.979	13.504	5851.132	23066.316	-1.911	13.533	6112.302	22986.513	-1.807	10.857	991.521	3469.471	-1.883	11.194	1219.860	4499.347	-1.073	10.578	1053.884	2217.164	-1.234	10.190	761.658	1791.559	0.244	11.813	3915.552	3306.296	0.149	10.853	1947.625	1756.515	1.167	10.621	2359.884	1050.966
b1405	b1405	-0.247	10.732	1561.265	1852.811	0.124	12.010	4305.604	3950.994	1.853	12.707	12708.446	3517.903	0.807	12.001	5421.589	3098.813	0.283	9.248	670.689	551.226	0.084	10.281	1280.951	1208.499	0.099	10.525	1524.901	1423.770	-0.128	9.765	832.323	909.544	0.170	10.839	1942.905	1726.937	-0.090	9.717	815.759	868.270	0.263	10.322	1402.223	1168.547
b1406	ydbC	0.542	10.995	2462.657	1691.397	-0.568	11.592	2535.404	3758.653	-1.057	12.484	3971.587	8263.287	-0.584	12.479	4662.862	6989.628	-0.278	9.998	928.656	1126.007	-0.159	11.053	2010.725	2245.000	-0.327	9.618	701.598	880.086	-0.196	9.473	663.982	760.603	-0.375	10.583	1346.968	1746.802	-0.173	9.158	538.014	606.557	0.052	10.038	1070.449	1032.553
b1407	ydbD	0.416	10.990	2349.275	1760.781	-1.158	12.597	4147.424	9254.889	1.424	11.152	3727.519	1389.163	0.116	10.480	1486.805	1371.938	-0.067	9.523	718.827	752.997	-0.095	10.325	1241.183	1325.665	0.227	7.738	230.960	197.335	-0.270	8.639	363.044	437.761	0.138	8.602	407.597	370.415	0.054	8.538	378.723	364.810	-0.403	10.938	1706.116	2255.920
b1408	ynbA	1.384	10.740	2762.962	1058.643	-0.968	10.895	1361.518	2663.301	-0.897	11.900	2800.561	5215.175	-0.691	11.860	2925.566	4723.040	-0.470	7.891	201.691	279.364	-1.064	11.101	1519.099	3176.011	-1.246	9.435	449.445	1066.006	-1.183	9.674	542.132	1230.902	0.065	8.350	333.721	319.019	-0.076	8.178	282.088	297.346	0.299	10.162	1270.781	1032.911
b1409	ynbB	0.916	11.577	4196.585	2224.091	-0.855	11.806	2662.379	4815.601	-0.003	12.149	4536.928	4546.372	-0.434	12.009	3546.057	4790.631	-0.483	11.095	1850.244	2585.988	-0.271	11.339	2358.248	2845.566	0.017	9.184	585.084	578.230	-0.760	9.798	684.070	1158.466	-0.032	9.654	796.759	814.629	-0.425	9.292	541.006	726.339	0.207	9.982	1086.521	941.293
